,规模以上工业综合能源消费量,1.煤炭开采和洗选业,2.石油和天然气开采业,3.非金属矿采选业,4.农副食品加工业,5.食品制造业,6.饮料制造业,7.纺织业,8.纺织服装、鞋、帽制造业,9.造纸及纸制品业,10.石油加工、炼焦及核燃料加工业,11.化学原料及化学制品制造业,12.医药制造业,13.橡胶和塑料制品业,14.非金属矿物制品业,15.黑色金属冶炼及压延加工业,16.有色金属冶炼,17.交通运输设备制造,18.电力、热力的生产和供应业,19.燃气生供,20.水生供
2015,3251,3204784,99081,79418,7285,14031,11923,202,2236,773,4260257,9594565,2206,93,333535,372149,807989,188,10591899,187894,9869
2014,2977,2782370,122769,86387,3659,14093,10089,289,318,777,4107221,7066573,3027,10,232053,232053,269858,1537542,10204390,198931,6743
2013,2465,1761909,124744,79572,1604,10410,12235,353,542,625,3678453,5119200,2034,38,262129,188485,1228855,1293,8880035,97750,7179
2012,2182,1052849,108943,81193,1631,9222,10705,0,241,219,3183141,4770221,1979,30,270946,193279,822379,1276,8428902,552,6991
2011,2007,559952,68979,26633,1536,6198,10333,76,241,190,2430546,4103619,1864,46,305290,239589,1011769,937,8583630,484,3932
2010,1706,407143,222825,25970,4402,7988,8662,155,363,329,2293837,3081623,3264,23,255428,195409,1116573,765,7454469,226,3791
2009,1495,110234,154230,20198,1903,5928,9264,65,171,143,2040762,2731722,2538,28,287574,190150,1338026,655,7440686,135,3343
2008,1407,52998,86709,7473,1099,2884,4467,35,91,76,959585,1262074,1374,13,142433,95236,700781,300,3644754,56,1468
2007,1112,16362,37543,2470,468,1039,1399,14,34,30,313631,378814,534,3,44577,29521,241138,24,1156523,30,483
2006,834,35149,19525,8884,2775,742,1199,11,17,1066,1243901,762607,1427,174,83823,56846,271839,12,1604528,16,784
2005,635,53935,1506,15299,5083,445,999,8,0,2102,2174171,1146400,2319,344,123068,84171,302539,0,2052532,2,1084
